Instance 	 Gurobi 	 VNS 	 AS 	 VNS-QL 	 Gurobi 	 VNS 	 AS 	 VNS-QL 
(2, 2, 4, 1) 	& 28554.02 	& 28554.02 	& 28554.02 	& 28554.02 	&  0.0 	& 0.0 	& 0.0 	& 0.0 \\ 
(5, 4, 10, 1) 	& 61402.88 	& 61404.58 	& 61403.8 	& 61403.58 	&  6.7e-05 	& 0.003 	& 0.002 	& 0.001 \\ 
(10, 8, 20, 2) 	& 192817.2 	& 192857.67 	& 192980.75 	& 192844.33 	&  9.9e-05 	& 0.021 	& 0.085 	& 0.014 \\ 
(15, 20, 30, 1) 	& 290932.3 	& 291324.3 	& 291569.87 	& 290961.86 	&  4.8e-05 	& 0.135 	& 0.219 	& 0.01 \\ 
(25, 50, 70, 2) 	& 710215.25 	& 713924.31 	& 711074.43 	& 710517.22 	&  0.0 	& 0.522 	& 0.121 	& 0.043 \\ 
(70, 120, 100, 3) 	& 1374194.39 	& 1385517.21 	& 1375444.29 	& 1375148.78 	&  0.001 	& 0.824 	& 0.091 	& 0.069 \\ 
(100, 120, 100, 4) 	& 1907714.3 	& 1929367.28 	& 1909417.87 	& 1909742.05 	&  0.0016 	& 1.135 	& 0.089 	& 0.106 \\ 
(150, 120, 130, 4) 	& 2230454.07 	& 2239852.68 	& 2232284.19 	& 2231254.55 	&  0.006 	& 0.421 	& 0.082 	& 0.036 \\ 
(200, 130, 150, 5) 	& 3526470.86 	& 3558095.76 	& 3528385.18 	& 3532091.68 	&  8.1e-05 	& 0.897 	& 0.054 	& 0.159 \\ 
(300, 140, 170, 5) 	& nan 	& 4350104.92 	& 4298873.81 	& 4304054.31 	&  nan 	& nan 	& nan 	& nan \\ 
(400, 150, 170 ,6) 	& nan 	& 5666460.3 	& 5607147.6 	& 5607540.51 	&  nan 	& nan 	& nan 	& nan \\ 
(600, 150, 200, 6) 	& nan 	& 6179472.71 	& 6133354.73 	& 6131579.64 	&  nan 	& nan 	& nan 	& nan \\ 
