Period 	Organic 	Chimic 	Food response 	Profit    	Carbon emission 	Unmet 	Land use
     1 	   0.0  	  1.0  	        1.0   	240339.36 	         310.48 	0.0   	   0.657
     2 	   0.0  	  1.0  	        1.0   	332165.38 	         268.05 	0.0   	   0.236
     3 	   0.0  	  1.0  	        1.0   	430799.62 	         323.36 	0.0   	   0.107
     4 	   0.0  	  1.0  	        0.85  	380659.62 	         233.0  	0.15  	   0.0
     5 	   0.0  	  1.0  	        0.684 	369448.64 	         233.0  	0.316 	   0.0
     6 	   0.0  	  1.0  	        0.748 	353244.3  	         233.0  	0.252 	   0.0
     7 	   0.0  	  1.0  	        0.891 	406025.95 	         233.0  	0.109 	   0.0
     8 	   0.0  	  1.0  	        1.0   	326261.68 	         166.13 	0.0   	   0.0
     9 	   0.12 	  0.88 	        1.0   	276967.36 	         134.31 	0.0   	   0.0
    10 	   0.0  	  1.0  	        0.705 	320641.74 	         233.0  	0.295 	   0.0
    11 	   0.0  	  1.0  	        0.784 	394643.27 	         233.0  	0.216 	   0.0
    12 	   0.0  	  1.0  	        1.0   	363845.91 	         226.36 	0.0   	   0.0
